kota_raw,kota,rumah_sakit,nomor_telpon,nama_dokter,spesialis_raw,spesialis_standar,subspesialis_raw,subspesialis_standar,non_spesialis_raw,sumber_data
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_jakarta_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Medan Petisah, Kota Medan ",Kota Medan,Siloam Hospitals Dhirga Surya Medan   ,-,"Prof. dr. Abdul Majid, Sp.PD-KKV", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Bojongloa Kidul, Kota Bandung ",Kota Bandung,RS Immanuel   ,-,"dr. Abram Pratama, Sp.PD", Sp. Penyakit Dalam ,Spesialis Penyakit Dalam (Sp.PD),-,-,-,halodoc_csv
" Pancoran Mas, Depok ",Depok,RS Mitra Keluarga Depok   ,-,"dr. Abner Penalemen Barus, Sp.KFR", Sp. Rehabilitasi Medik & Kedokteran Fisik ,Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,halodoc_jakarta_csv
" Gubeng, Kota Surabaya ",Kota Surabaya,Siloam Hospitals Surabaya   ,-,"Prof. Dr. dr. Achmad Chusnu Romdhoni, Sp.THT-KL (K)", Sp. THT ,"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,halodoc_jakarta_csv
" Pancoran, Jakarta Selatan ",Jakarta Selatan,Siloam Hospitals ASRI   ,-,"dr. Adisti Mega Rinindra, Sp.THT-KL", Sp. THT ,"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,halodoc_csv
" Tangerang, Tangerang ",Tangerang,Mayapada Hospital Tangerang   ,-,"dr. Alexander Nur Ilhami, Sp.THT-KL, M.Kes", Sp. THT ,"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,halodoc_csv
" Gubeng, Kota Surabaya ",Kota Surabaya,Siloam Hospitals Surabaya   ,-,"Prof. Dr. dr. Achmad Chusnu Romdhoni, Sp.THT-KL (K)", Sp. THT ,"Spesialis Telinga, Hidung, dan Tenggorokan (Sp.THT-KL)",-,-,-,halodoc_csv
" Ujung Pandang, Kota Makassar ",Kota Makassar,Siloam Hospitals Makassar   ,-,"dr. Abdul Azis, Sp.U", Sp. Urologi ,Spesialis Urologi (SpU),-,-,-,halodoc_jakarta_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. I Gusti Ngurah Sanjaya Putra, Sp.A (K)", Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Dr. dr. I Made Arimbawa, Sp.A (K)", Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Anak Agung Ngurah Prayoga, Sp.A", Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Ida Bagus Gede Suparyatha, Sp.A (K)", Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Anak Agung Tri Yuliantini, MSc, Sp.A", Spesialis Anak (Sp.A),Spesialis Anak (Sp.A),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Ida Bagus Darma Putra, SpB-KBD", Spesialis Bedah Digestif (Sp.BD),Spesialis Bedah (Sp.B), Spesialis Bedah Digestif (Sp.BD),Subspesialis Bedah Digestif (Sp.B-KBD),-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Putu Ayu Saraswati, Sp.B, (K) Digestive", Spesialis Bedah Digestif (Sp.BD),Spesialis Bedah (Sp.B), Spesialis Bedah Digestif (Sp.BD),Subspesialis Bedah Digestif (Sp.B-KBD),-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. I Wayan Agus Murcahya, Sp.B, (K) Digestive", Spesialis Bedah Digestif (Sp.BD),Spesialis Bedah (Sp.B), Spesialis Bedah Digestif (Sp.BD),Subspesialis Bedah Digestif (Sp.B-KBD),-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Dr. dr. I Nyoman Semadi, Sp.B,.Sp.BTKV,.Subsp.VE(K)", Spesialis Bedah Kardiovaskular (Sp.BK),Spesialis Bedah (Sp.B), Spesialis Bedah Kardiovaskular (Sp.BK),Subspesialis Bedah - Kardiovaskular (Sp.BK),-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Ni Gusti Ayu Agung Manik Yuniawaty Wetan, Sp.B (K) Onkologi", Spesialis Bedah Onkologi (Sp.BO),Spesialis Bedah (Sp.B), Spesialis Bedah Onkologi (Sp.BO),Subspesialis Bedah Onkologi,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Gede Budhi Setiawan, Sp.B (K) Onkologi", Spesialis Bedah Onkologi (Sp.BO),Spesialis Bedah (Sp.B), Spesialis Bedah Onkologi (Sp.BO),Subspesialis Bedah Onkologi,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Dr. dr. Agus Roy Rusly Hariantana Hamid, Sp.BP", Spesialis Bedah Plastik (Sp.BP),Spesialis Bedah Plastik (Sp.BP),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Shita Diwyani Sudarsa, Sp.BP", Spesialis Bedah Plastik (Sp.BP),Spesialis Bedah Plastik (Sp.BP),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. I Made Suka Adnyana, Sp BP-RE", Spesialis Bedah Plastik (Sp.BP),Spesialis Bedah Plastik (Sp.BP),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Prof. Dr. dr. Sri Maliawan, Sp.BS (K)", Spesialis Bedah Spesialis Saraf (Sp.S) (Sp.BS),Spesialis Bedah Saraf (Sp.BS),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. I Ketut Sudiasa, Sp.B", Spesialis Bedah Umum (Sp.BU),Spesialis Bedah (Sp.B),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Ida Ayu Putranti Darma Restuti,M.Biomed, SpB", Spesialis Bedah Umum (Sp.BU),Spesialis Bedah (Sp.B),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Gede Kesuma Winarta, Sp.B", Spesialis Bedah Umum (Sp.BU),Spesialis Bedah (Sp.B),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Ida Bagus Budiarta, Sp.B (K) V", Spesialis Bedah Vaskular (Sp.BV),Spesialis Bedah (Sp.B), Spesialis Bedah Vaskular (Sp.BV),Subspesialis Bedah - Vaskular,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Tjokorde Gde Dalem Pemayun, Sp.PD, KEMD", Spesialis Endokrin (Sp.ED),Spesialis Penyakit Dalam (Sp.PD), Spesialis Endokrin (Sp.ED),Subspesialis Penyakit Dalam - Endokrin,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"drg. Setiawan, M.Kes.FISID", Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,drg. Megawati Ramadhany, Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"drg. Valeo Adika Laksana, Sert.KGI, FISID, Sp. Perio", Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"drg. Vicky Alexandra Lijaya, Sp.KG", Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,drg. Dewa Ayu Putu Kristina Asuntya, Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"drg. Ida Ayu Sundari Utami, SKG., Srt.KGI", Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"drg. I Gusti Agung Gde Oka, M.Biomed", Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"drg. I Putu Sandi Mandita, S.KG", Spesialis Gigi dan Mulut (Sp.GM), Spesialis Gigi dan Mulut (Sp.GM),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Komang Sri Melina Utami, S.Ft, Ftr", Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Made Aditya Yogi Guntara, S.Ft, Ftr", Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Agung Suharsono, S.Kes", Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"Putu Divta Mahendra, S.Ft, Ftr", Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),Spesialis Kedokteran Fisik & Rehabilitasi Medik (SpKFR),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Nyoman Suryawati, SpKK", Spesialis Kulit dan Kelamin (Sp.KK),Spesialis Kulit dan Kelamin (Sp.KK),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Ni Putu Ayu Saraswati Apsari, Sp. KK", Spesialis Kulit dan Kelamin (Sp.KK),Spesialis Kulit dan Kelamin (Sp.KK),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Anak Agung Istri Saraswati Dewi, Sp.KK", Spesialis Kulit dan Kelamin (Sp.KK),Spesialis Kulit dan Kelamin (Sp.KK),-,-,-,bali_raya_hospital_csv
Denpasar,Denpasar,Bali Raya Hospital,-,"dr. Irene Tantia Utami, M.Kes, Sp KK", Spesialis Kulit dan Kelamin (Sp.KK),Spesialis Kulit dan Kelamin (Sp.KK),-,-,-,bali_raya_hospital_csv
